Instance,optimal,BestTourChristofides,BestErrorChristofides,BestTimeChristofides,BestTourColumn Generation,BestErrorColumn Generation,BestTimeColumn Generation,BestTourColumn Generation + swapRound,BestErrorColumn Generation + swapRound,BestTimeColumn Generation + swapRound,BestTourMax Entropy,BestErrorMax Entropy,BestTimeMax Entropy,BestTourSplitting Off,BestErrorSplitting Off,BestTimeSplitting Off,BestTourSplitting Off + swapRound,BestErrorSplitting Off + swapRound,BestTimeSplitting Off + swapRound,BestTourACO,BestErrorACO,BestTimeACO
kroA100,21282,24053,13.0204%,3158,21878,2.80049%,2116305,21659,1.77145%,27112524,21570,1.35326%,2220177,22285,4.7129%,693088,21632,1.64458%,271562,24561,15.4074%,27148277
kroA150,26524,27626,4.15473%,3498,27484,3.61936%,906458,27160,2.39783%,8070946,27159,2.39406%,7772630,28629,7.93621%,2433869,27087,2.12261%,535405,31926,20.3665%,8119671
kroA200,29368,33488,14.0289%,6035,31258,6.43558%,1582249,31164,6.1155%,16372387,31267,6.46622%,15139818,31823,8.35944%,5408574,31251,6.41174%,1495087,36546,24.4416%,16677086
kroB100,22141,23990,8.35102%,1834,22976,3.77128%,2143970,22990,3.83452%,12033230,22998,3.87065%,1360415,23437,5.85339%,666262,23092,4.2952%,243075,25126,13.4818%,12037419
kroB150,26130,30058,15.0325%,4971,28098,7.53157%,1054393,27854,6.59778%,11472759,28125,7.6349%,7080480,28643,9.6173%,2302610,28087,7.48948%,624975,31020,18.7141%,11505539
kroB200,29437,31613,7.39206%,6190,31767,7.91521%,1813859,31894,8.34664%,20692735,31693,7.66382%,19514810,32287,9.68169%,5401883,31892,8.33984%,1025074,35034,19.0135%,20960452
kroC100,20749,22635,9.08959%,1839,21988,5.97137%,1282560,22011,6.08222%,13722218,22004,6.04848%,1673993,22919,10.4583%,678060,22083,6.42923%,222011,23570,13.5958%,13728402
kroD100,21294,23143,8.6832%,1897,21951,3.08538%,3369006,21771,2.24007%,17468204,21904,2.86466%,1696552,22482,5.57904%,680529,21664,1.73758%,304098,25036,17.573%,17496583
kroE100,22068,23754,7.64002%,1580,23803,7.86206%,331274,23870,8.16567%,5344506,23784,7.77597%,771113,24778,12.2802%,649196,24673,11.8044%,133805,24983,13.2092%,5382853
pr107,44303,47748,7.776%,2110,44303,0%,226437,44303,0%,27238,44303,0%,253218,44303,0%,806972,44303,0%,39354,51295,15.7822%,831071
pr124,59030,62611,6.06641%,1746,60328,2.19888%,430979,59704,1.14179%,2244371,59704,1.14179%,2133279,63826,8.12468%,1411417,59704,1.14179%,235682,64208,8.77181%,2283502
pr136,96772,105869,9.40045%,1825,101638,5.02831%,13333840,102098,5.50366%,87919204,101084,4.45583%,13975561,103762,7.22316%,2228981,101020,4.3897%,2248432,116948,20.849%,87994749
